IP Address,Timestamp,Packet Loss,Min RTT,Ave RTT,Max RTT,Bandwidth, Packet Delay Variation
192.168.0.2,00:52.8,0,1.510381699,2.292251587,5.040645599,0.027920146,0.001861601
192.168.0.1,01:41.9,0,2.110719681,5.365195274,113.2969856,0.011928736,0.006235914
192.168.0.2,05:53.6,0,1.6746521,2.519402504,8.731842041,0.025402848,0.002140493
192.168.0.1,06:42.7,0,2.130031586,5.185079575,72.681427,0.012343109,0.003116674
192.168.0.2,10:52.9,0,1.621723175,2.308440208,7.935523987,0.027724348,0.001403437
192.168.0.1,11:42.0,0,2.092123032,7.497653961,119.412899,0.008536003,-0.004047585
192.168.0.2,15:52.7,0,1.376628876,4.091305733,58.62545967,0.015642928,-0.000195723
192.168.0.1,16:41.8,0,2.049684525,5.961594582,66.30301476,0.010735383,-0.000195131
192.168.0.2,20:52.8,0,1.683473587,2.935528755,16.44945145,0.021801864,0.000854626
192.168.0.1,21:41.9,0,2.120733261,6.893467903,101.4273167,0.009284151,-0.001984453
192.168.0.2,25:52.8,0,1.519680023,2.547535896,9.032011032,0.025122315,0.001512985
192.168.0.1,26:41.9,0,1.910448074,5.34040451,74.54824448,0.011984111,-0.001579514
192.168.0.2,30:53.6,0,1.667737961,2.4949646,9.298086166,0.025651667,0.001201448
192.168.0.1,31:42.6,0,2.066612244,9.368844032,120.0265884,0.006831152,-0.001682014
192.168.0.2,35:53.4,0,1.685142517,2.266778946,6.196975708,0.028233896,0.001707115
192.168.0.1,36:42.6,0,2.018451691,27.51670837,1123.824835,0.00232586,0.043758345
192.168.0.2,40:52.8,0,1.875162125,3.086118698,21.19088173,0.020738023,0.003064127
192.168.0.1,41:41.9,0,2.1443367,7.92406559,122.3316193,0.008076662,-0.003607874
192.168.0.2,45:52.8,0,1.263618469,3.761668205,53.11322212,0.017013728,0.004229956
192.168.0.1,46:41.9,0,2.152919769,7.535481453,102.5459766,0.008493153,-0.000529909
192.168.0.2,50:53.6,0,1.756191254,2.997713089,20.27463913,0.021349608,0.001460466
192.168.0.1,51:42.8,0,1.968860626,31.59506321,1129.524946,0.002025633,-0.037734098
192.168.0.2,55:53.4,0,1.652002335,4.107518196,58.49599838,0.015581185,-0.000892687
192.168.0.1,56:42.5,0,2.052545547,5.759358406,95.69621086,0.011112349,0.006322708
